,eso_f4_0,eso_f4_1,eso_f4_2,eso_f4_3,eso_f4_4
0,42579.20015340141,46223.234410678364,20811.133905815885,25208.087977478586,27982.342565652554
1,42579.20015340141,46223.234410678364,20811.133905815885,25208.087977478586,27982.342565652554
2,42579.20015340141,46223.234410678364,20811.133905815885,25208.087977478586,27982.342565652554
3,42579.20015340141,46223.234410678364,20811.133905815885,25208.087977478586,27982.342565652554
4,42579.20015340141,46223.234410678364,20811.133905815885,25208.087977478586,27982.342565652554
5,42579.20015340141,46223.234410678364,20811.133905815885,25208.087977478586,27982.342565652554
6,42579.20015340141,46223.234410678364,20811.133905815885,25208.087977478586,27982.342565652554
7,42579.20015340141,46223.234410678364,20811.133905815885,25208.087977478586,27982.342565652554
8,42579.20015340141,46223.234410678364,20811.133905815885,25208.087977478586,27982.342565652554
9,42579.20015340141,46223.234410678364,20811.133905815885,25208.087977478586,27982.342565652554
10,42579.20015340141,46223.234410678364,20811.133905815885,25208.087977478586,27982.342565652554
11,42579.20015340141,46223.234410678364,20811.133905815885,25208.087977478586,27982.342565652554
12,42579.20015340141,46223.234410678364,20811.133905815885,25208.087977478586,27982.342565652554
13,42579.20015340141,46223.234410678364,20811.133905815885,25208.087977478586,27982.342565652554
14,42579.20015340141,46223.234410678364,20811.133905815885,25208.087977478586,27982.342565652554
15,42579.20015340141,46223.234410678364,20811.133905815885,25208.087977478586,27982.342565652554
16,42579.20015340141,46223.234410678364,20811.133905815885,25208.087977478586,27982.342565652554
17,42579.20015340141,46223.234410678364,20811.133905815885,25208.087977478586,27982.342565652554
18,42579.20015340141,46223.234410678364,20811.133905815885,25208.087977478586,27982.342565652554
19,42579.20015340141,46223.234410678364,20811.133905815885,25208.087977478586,27982.342565652554
20,42579.20015340141,46223.234410678364,20811.133905815885,25208.087977478586,27982.342565652554
21,42579.20015340141,46223.234410678364,20811.133905815885,25208.087977478586,27982.342565652554
22,42579.20015340141,46223.234410678364,20811.133905815885,25208.087977478586,27982.342565652554
23,42579.20015340141,46223.234410678364,20811.133905815885,25208.087977478586,27982.342565652554
24,42579.20015340141,46223.234410678364,20811.133905815885,25208.087977478586,27982.342565652554
25,42579.20015340141,46223.234410678364,20811.133905815885,25208.087977478586,27982.342565652554
26,42579.20015340141,46223.234410678364,20811.133905815885,25208.087977478586,27982.342565652554
27,42579.20015340141,46223.234410678364,20811.133905815885,25208.087977478586,27982.342565652554
28,42579.20015340141,46223.234410678364,20811.133905815885,25208.087977478586,27982.342565652554
29,42579.20015340141,46223.234410678364,20811.133905815885,25208.087977478586,27982.342565652554
30,42579.20015340141,46223.234410678364,20811.133905815885,25208.087977478586,27982.342565652554
31,42579.20015340141,46223.234410678364,20811.133905815885,25208.087977478586,27982.342565652554
32,42579.20015340141,46223.234410678364,20811.133905815885,25208.087977478586,27982.342565652554
33,42579.20015340141,46223.234410678364,20811.133905815885,25208.087977478586,27982.342565652554
34,42579.20015340141,46223.234410678364,20811.133905815885,25208.087977478586,27982.342565652554
35,42579.20015340141,46223.234410678364,20811.133905815885,25208.087977478586,27982.342565652554
36,42579.20015340141,46223.234410678364,20811.133905815885,25208.087977478586,27982.342565652554
37,42579.20015340141,46223.234410678364,20811.133905815885,25208.087977478586,27982.342565652554
38,42579.20015340141,46223.234410678364,20811.133905815885,25208.087977478586,27982.342565652554
39,42579.20015340141,46223.234410678364,20811.133905815885,25208.087977478586,27982.342565652554
40,42579.20015340141,46223.234410678364,20811.133905815885,25208.087977478586,27982.342565652554
41,42579.20015340141,46223.234410678364,20811.133905815885,25208.087977478586,27982.342565652554
42,42579.20015340141,46223.234410678364,20811.133905815885,25208.087977478586,27982.342565652554
43,42579.20015340141,46223.234410678364,20811.133905815885,25208.087977478586,27982.342565652554
44,42579.20015340141,46223.234410678364,20811.133905815885,25208.087977478586,27982.342565652554
45,42579.20015340141,46223.234410678364,20811.133905815885,25208.087977478586,27982.342565652554
46,42579.20015340141,46223.234410678364,20811.133905815885,25208.087977478586,27982.342565652554
47,42579.20015340141,46223.234410678364,20811.133905815885,25208.087977478586,27982.342565652554
48,42579.20015340141,46223.234410678364,20811.133905815885,25208.087977478586,27982.342565652554
49,42579.20015340141,46223.234410678364,20811.133905815885,25208.087977478586,27982.342565652554
50,42579.20015340141,46223.234410678364,20811.133905815885,25208.087977478586,27982.342565652554
51,42579.20015340141,46223.234410678364,20811.133905815885,25208.087977478586,27982.342565652554
52,42579.20015340141,46223.234410678364,20811.133905815885,25208.087977478586,27982.342565652554
53,42579.20015340141,46223.234410678364,20811.133905815885,25208.087977478586,26691.17664420462
54,42579.20015340141,46223.234410678364,20811.133905815885,25208.087977478586,26613.149521616473
55,42579.20015340141,46223.234410678364,20811.133905815885,25208.087977478586,11661.504185805943
56,42579.20015340141,46223.234410678364,20811.133905815885,25208.087977478586,4502.947100586535
57,42579.20015340141,46223.234410678364,20811.133905815885,25208.087977478586,1360.3604173376496
58,42579.20015340141,46223.234410678364,20811.133905815885,25208.087977478586,499.74157375510686
59,42579.20015340141,46223.234410678364,20811.133905815885,25208.087977478586,182.81554310266773
60,42579.20015340141,46223.234410678364,20811.133905815885,25208.087977478586,97.11148107190934
61,42579.20015340141,46223.234410678364,20811.133905815885,25208.087977478586,72.67385887183896
62,42579.20015340141,46223.234410678364,20811.133905815885,25208.087977478586,65.65739856766747
63,42579.20015340141,46223.234410678364,20811.133905815885,25208.087977478586,62.7263731643316
64,42579.20015340141,46223.234410678364,20811.133905815885,25208.087977478586,61.70119602839038
65,42579.20015340141,46223.234410678364,20811.133905815885,25208.087977478586,61.23112958535346
66,42579.20015340141,46223.234410678364,20811.133905815885,25208.087977478586,61.061864450384306
67,42579.20015340141,46223.234410678364,20811.133905815885,25208.087977478586,61.01473492365763
68,42579.20015340141,46223.234410678364,20811.133905815885,25208.087977478586,60.99673982450605
69,42579.20015340141,46223.234410678364,20811.133905815885,25208.087977478586,60.97580166333587
70,42579.20015340141,46223.234410678364,20811.133905815885,25208.087977478586,60.9691216068142
71,42579.20015340141,46223.234410678364,20811.133905815885,25208.087977478586,60.962248016639165
72,42579.20015340141,46223.234410678364,20811.133905815885,25208.087977478586,60.958341797072194
73,42579.20015340141,46223.234410678364,20811.133905815885,25208.087977478586,60.955902351226705
74,42579.20015340141,46223.234410678364,20811.133905815885,25208.087977478586,60.9540654607183
75,42579.20015340141,46223.234410678364,20811.133905815885,25208.087977478586,60.95320192252032
76,42579.20015340141,46223.234410678364,20811.133905815885,25208.087977478586,60.952851853700814
77,42579.20015340141,46223.234410678364,20811.133905815885,25208.087977478586,60.95266098534939
78,42579.20015340141,46223.234410678364,20811.133905815885,25208.087977478586,60.952576819250005
79,42579.20015340141,46223.234410678364,20811.133905815885,25208.087977478586,60.95252434450097
80,42579.20015340141,46223.234410678364,20811.133905815885,25208.087977478586,60.95248528914685
81,42579.20015340141,46223.234410678364,20811.133905815885,25208.087977478586,60.952469343479414
82,42579.20015340141,46223.234410678364,20811.133905815885,25208.087977478586,60.952461826778176
83,42579.20015340141,46223.234410678364,20811.133905815885,25208.087977478586,60.95245679455033
84,42579.20015340141,46223.234410678364,20811.133905815885,25208.087977478586,60.95245423867462
85,42579.20015340141,46223.234410678364,20811.133905815885,25208.087977478586,60.95245334084401
86,42579.20015340141,46223.234410678364,20811.133905815885,25208.087977478586,60.95245225944824
87,42579.20015340141,46223.234410678364,20811.133905815885,25208.087977478586,60.95245170501277
88,42579.20015340141,46223.234410678364,20811.133905815885,25208.087977478586,60.9524515353243
89,42579.20015340141,46223.234410678364,20811.133905815885,25208.087977478586,60.95245145402576
90,42579.20015340141,46223.234410678364,20811.133905815885,25208.087977478586,60.952451432746315
91,42579.20015340141,46223.234410678364,20811.133905815885,25208.087977478586,60.952451428984936
92,42579.20015340141,46223.234410678364,20811.133905815885,25208.087977478586,60.95245142751011
93,42579.20015340141,46223.234410678364,20811.133905815885,25208.087977478586,60.952451426730555
94,42579.20015340141,46223.234410678364,20811.133905815885,25208.087977478586,60.95245142620591
95,42579.20015340141,46223.234410678364,20811.133905815885,25208.087977478586,60.9524514260195
96,42579.20015340141,46223.234410678364,20811.133905815885,25208.087977478586,60.95245142588984
97,42579.20015340141,46223.234410678364,20811.133905815885,25208.087977478586,60.952451425835
98,42579.20015340141,46223.234410678364,20811.133905815885,25208.087977478586,60.95245142581736
99,42579.20015340141,46223.234410678364,20811.133905815885,25208.087977478586,60.95245142580761
100,42579.20015340141,46223.234410678364,20811.133905815885,25208.087977478586,60.95245142580377
101,42579.20015340141,46223.234410678364,20811.133905815885,25208.087977478586,60.952451425802025
102,42579.20015340141,46223.234410678364,20811.133905815885,25208.087977478586,60.9524514258009
103,42579.20015340141,46223.234410678364,20811.133905815885,25208.087977478586,60.95245142580057
104,42579.20015340141,46223.234410678364,20811.133905815885,25208.087977478586,60.95245142580057
105,42579.20015340141,46223.234410678364,20811.133905815885,25208.087977478586,60.95245142580052
106,42579.20015340141,46223.234410678364,20811.133905815885,25208.087977478586,60.95245142580052
107,42579.20015340141,46223.234410678364,20811.133905815885,25208.087977478586,60.95245142580052
108,42579.20015340141,46223.234410678364,20811.133905815885,25208.087977478586,60.95245142580052
109,42579.20015340141,46223.234410678364,20811.133905815885,25208.087977478586,60.95245142580052
110,42579.20015340141,46223.234410678364,20811.133905815885,25208.087977478586,60.95245142580052
111,42579.20015340141,46223.234410678364,20811.133905815885,25208.087977478586,60.95245142580052
112,42579.20015340141,46223.234410678364,20811.133905815885,25208.087977478586,60.95245142580052
113,42579.20015340141,46223.234410678364,20811.133905815885,25208.087977478586,60.95245142580052
114,42579.20015340141,46223.234410678364,20811.133905815885,25208.087977478586,60.95245142580052
115,42579.20015340141,46223.234410678364,20811.133905815885,25208.087977478586,60.95245142580052
116,42579.20015340141,46223.234410678364,20811.133905815885,25208.087977478586,60.95245142580052
117,42579.20015340141,46223.234410678364,20811.133905815885,25208.087977478586,60.95245142580052
118,42579.20015340141,46223.234410678364,20811.133905815885,25208.087977478586,60.95245142580052
119,42579.20015340141,46223.234410678364,20811.133905815885,25208.087977478586,60.95245142580052
120,42579.20015340141,46223.234410678364,20811.133905815885,25208.087977478586,60.95245142580052
121,42579.20015340141,46223.234410678364,20811.133905815885,25208.087977478586,60.95245142580052
122,42579.20015340141,46223.234410678364,20811.133905815885,25208.087977478586,60.95245142580052
123,42579.20015340141,46223.234410678364,20811.133905815885,25208.087977478586,60.95245142580052
124,42579.20015340141,46223.234410678364,20811.133905815885,25208.087977478586,60.95245142580052
125,42579.20015340141,46223.234410678364,20811.133905815885,25208.087977478586,60.95245142580052
126,42579.20015340141,46223.234410678364,20811.133905815885,25208.087977478586,60.95245142580052
127,42579.20015340141,46223.234410678364,20811.133905815885,25208.087977478586,60.95245142580052
128,42579.20015340141,46223.234410678364,20811.133905815885,25208.087977478586,60.95245142580052
129,42579.20015340141,46223.234410678364,20811.133905815885,25208.087977478586,60.95245142580052
130,42579.20015340141,46223.234410678364,20811.133905815885,25208.087977478586,60.95245142580052
131,42579.20015340141,46223.234410678364,20811.133905815885,25208.087977478586,60.95245142580052
132,42579.20015340141,46223.234410678364,20811.133905815885,25208.087977478586,60.95245142580052
133,42579.20015340141,46223.234410678364,20811.133905815885,25208.087977478586,60.95245142580052
134,42579.20015340141,46223.234410678364,20811.133905815885,25208.087977478586,60.95245142580052
135,42579.20015340141,46223.234410678364,20811.133905815885,25208.087977478586,60.95245142580052
136,42579.20015340141,46223.234410678364,20811.133905815885,25208.087977478586,60.95245142580052
137,42579.20015340141,46223.234410678364,20811.133905815885,25208.087977478586,60.95245142580052
138,42579.20015340141,46223.234410678364,20811.133905815885,25208.087977478586,60.95245142580052
139,42579.20015340141,46223.234410678364,20811.133905815885,25208.087977478586,60.95245142580052
140,42579.20015340141,46223.234410678364,20811.133905815885,25208.087977478586,60.95245142580052
141,42579.20015340141,46223.234410678364,20811.133905815885,25208.087977478586,60.95245142580051
142,42579.20015340141,46223.234410678364,20811.133905815885,25208.087977478586,60.95245142580051
143,42579.20015340141,46223.234410678364,20811.133905815885,25208.087977478586,60.95245142580051
144,42579.20015340141,46223.234410678364,20811.133905815885,25208.087977478586,60.95245142580051
145,42579.20015340141,46223.234410678364,20811.133905815885,25208.087977478586,60.95245142580051
146,42579.20015340141,46223.234410678364,20811.133905815885,25208.087977478586,60.95245142580051
147,42579.20015340141,46223.234410678364,20811.133905815885,25208.087977478586,60.95245142580051
148,42579.20015340141,46223.234410678364,20811.133905815885,25208.087977478586,60.95245142580051
149,42579.20015340141,46223.234410678364,20811.133905815885,25208.087977478586,60.95245142580051
150,42579.20015340141,46223.234410678364,20811.133905815885,25208.087977478586,60.95245142580051
151,42579.20015340141,46223.234410678364,20811.133905815885,25208.087977478586,60.95245142580051
152,42579.20015340141,46223.234410678364,20811.133905815885,25208.087977478586,60.95245142580051
153,42579.20015340141,46223.234410678364,20811.133905815885,25208.087977478586,60.95245142580051
154,42579.20015340141,46223.234410678364,20811.133905815885,25208.087977478586,60.95245142580051
155,42579.20015340141,46223.234410678364,20811.133905815885,25208.087977478586,60.95245142580051
156,42579.20015340141,46223.234410678364,20811.133905815885,25208.087977478586,60.95245142580051
157,42579.20015340141,46223.234410678364,20811.133905815885,25208.087977478586,60.95245142580051
158,42579.20015340141,46223.234410678364,20811.133905815885,25208.087977478586,60.95245142580051
159,42579.20015340141,46223.234410678364,20811.133905815885,25208.087977478586,60.95245142580051
160,42579.20015340141,46223.234410678364,20811.133905815885,25208.087977478586,60.95245142580051
161,42579.20015340141,46223.234410678364,20811.133905815885,25208.087977478586,60.95245142580051
162,42579.20015340141,46223.234410678364,20811.133905815885,25208.087977478586,60.95245142580051
163,42579.20015340141,46223.234410678364,20811.133905815885,25208.087977478586,60.95245142580051
164,42579.20015340141,46223.234410678364,20811.133905815885,25208.087977478586,60.95245142580051
165,42579.20015340141,46223.234410678364,20811.133905815885,25208.087977478586,60.95245142580051
166,42579.20015340141,46223.234410678364,20811.133905815885,25208.087977478586,60.95245142580051
167,42579.20015340141,46223.234410678364,20811.133905815885,25208.087977478586,60.95245142580051
168,42579.20015340141,46223.234410678364,20811.133905815885,25208.087977478586,60.95245142580051
169,42579.20015340141,46223.234410678364,20811.133905815885,25208.087977478586,60.95245142580051
170,42579.20015340141,46223.234410678364,20811.133905815885,25208.087977478586,60.95245142580051
171,42579.20015340141,46223.234410678364,20811.133905815885,25208.087977478586,60.95245142580051
172,42579.20015340141,46223.234410678364,20811.133905815885,25208.087977478586,60.95245142580051
173,42579.20015340141,46223.234410678364,20811.133905815885,25208.087977478586,60.95245142580051
174,42579.20015340141,46223.234410678364,20811.133905815885,25208.087977478586,60.95245142580051
175,42579.20015340141,46223.234410678364,20811.133905815885,25208.087977478586,60.95245142580051
176,42579.20015340141,46223.234410678364,20811.133905815885,25208.087977478586,60.95245142580051
177,42579.20015340141,46223.234410678364,20811.133905815885,25208.087977478586,60.95245142580051
178,42579.20015340141,46223.234410678364,20811.133905815885,25208.087977478586,60.95245142580051
179,42579.20015340141,46223.234410678364,20811.133905815885,25208.087977478586,60.95245142580051
180,42579.20015340141,46223.234410678364,20811.133905815885,25208.087977478586,60.95245142580051
181,42579.20015340141,46223.234410678364,20811.133905815885,25208.087977478586,60.95245142580051
182,42579.20015340141,46223.234410678364,20811.133905815885,25208.087977478586,60.95245142580051
183,42579.20015340141,46223.234410678364,20811.133905815885,25208.087977478586,60.95245142580051
184,42579.20015340141,46223.234410678364,20811.133905815885,25208.087977478586,60.95245142580051
185,42579.20015340141,46223.234410678364,20811.133905815885,25208.087977478586,60.95245142580051
186,42579.20015340141,46223.234410678364,20811.133905815885,25208.087977478586,60.95245142580051
187,42579.20015340141,46223.234410678364,20811.133905815885,25208.087977478586,60.95245142580051
188,42579.20015340141,46223.234410678364,20811.133905815885,25208.087977478586,60.95245142580051
189,42579.20015340141,46223.234410678364,20811.133905815885,25208.087977478586,60.95245142580051
190,42579.20015340141,46223.234410678364,20811.133905815885,25208.087977478586,60.95245142580051
191,42579.20015340141,46223.234410678364,20811.133905815885,25208.087977478586,60.95245142580051
192,42579.20015340141,46223.234410678364,20811.133905815885,25208.087977478586,60.95245142580051
193,42579.20015340141,46223.234410678364,20811.133905815885,25208.087977478586,60.95245142580051
194,42579.20015340141,46223.234410678364,20811.133905815885,25208.087977478586,60.95245142580051
195,42579.20015340141,46223.234410678364,20811.133905815885,25208.087977478586,60.95245142580051
196,42579.20015340141,46223.234410678364,20811.133905815885,25208.087977478586,60.95245142580051
197,42579.20015340141,46223.234410678364,20811.133905815885,25208.087977478586,60.95245142580051
198,42579.20015340141,46223.234410678364,20811.133905815885,25208.087977478586,60.95245142580051
199,42579.20015340141,46223.234410678364,20811.133905815885,25208.087977478586,60.95245142580051
200,42579.20015340141,46223.234410678364,20811.133905815885,25208.087977478586,60.95245142580051
201,42579.20015340141,46223.234410678364,20811.133905815885,25208.087977478586,60.95245142580051
202,42579.20015340141,46223.234410678364,20811.133905815885,25208.087977478586,60.95245142580051
203,42579.20015340141,46223.234410678364,20811.133905815885,25208.087977478586,60.95245142580051
204,42579.20015340141,46223.234410678364,20811.133905815885,25208.087977478586,60.95245142580051
205,42579.20015340141,46223.234410678364,20811.133905815885,25208.087977478586,60.95245142580051
206,42579.20015340141,46223.234410678364,20811.133905815885,25208.087977478586,60.95245142580051
207,42579.20015340141,46223.234410678364,20811.133905815885,25208.087977478586,60.95245142580051
208,42579.20015340141,46223.234410678364,20811.133905815885,25208.087977478586,60.95245142580051
209,42579.20015340141,46223.234410678364,20811.133905815885,25208.087977478586,60.95245142580051
210,42579.20015340141,46223.234410678364,20811.133905815885,25208.087977478586,60.95245142580051
211,42579.20015340141,46223.234410678364,20811.133905815885,25208.087977478586,60.95245142580051
212,42579.20015340141,46223.234410678364,20811.133905815885,25208.087977478586,60.95245142580051
213,42579.20015340141,46223.234410678364,20811.133905815885,25208.087977478586,60.95245142580051
214,42579.20015340141,46223.234410678364,20811.133905815885,25208.087977478586,60.95245142580051
215,42579.20015340141,46223.234410678364,20811.133905815885,25208.087977478586,60.95245142580051
216,42579.20015340141,46223.234410678364,20811.133905815885,25208.087977478586,60.95245142580051
217,42579.20015340141,46223.234410678364,20811.133905815885,25208.087977478586,60.95245142580051
218,42579.20015340141,46223.234410678364,20811.133905815885,25208.087977478586,60.95245142580051
219,42579.20015340141,46223.234410678364,20811.133905815885,25208.087977478586,60.95245142580051
220,42579.20015340141,46223.234410678364,20811.133905815885,25208.087977478586,60.95245142580051
221,42579.20015340141,46223.234410678364,20811.133905815885,25208.087977478586,60.95245142580051
222,42579.20015340141,46223.234410678364,20811.133905815885,25208.087977478586,60.95245142580051
223,42579.20015340141,46223.234410678364,20811.133905815885,25208.087977478586,60.95245142580051
224,42579.20015340141,46223.234410678364,20811.133905815885,25208.087977478586,60.95245142580051
225,42579.20015340141,46223.234410678364,20811.133905815885,25208.087977478586,60.95245142580051
226,42579.20015340141,46223.234410678364,20811.133905815885,25208.087977478586,60.95245142580051
227,42579.20015340141,46223.234410678364,20811.133905815885,25208.087977478586,60.95245142580051
228,42579.20015340141,46223.234410678364,20811.133905815885,25208.087977478586,60.95245142580051
229,42579.20015340141,46223.234410678364,20811.133905815885,25208.087977478586,60.95245142580051
230,42579.20015340141,46223.234410678364,20811.133905815885,25208.087977478586,60.95245142580051
231,42579.20015340141,46223.234410678364,20811.133905815885,25208.087977478586,60.95245142580051
232,42579.20015340141,46223.234410678364,20811.133905815885,25208.087977478586,60.95245142580051
233,42579.20015340141,46223.234410678364,20811.133905815885,25208.087977478586,60.95245142580051
234,42579.20015340141,46223.234410678364,20811.133905815885,25208.087977478586,60.95245142580051
235,42579.20015340141,46223.234410678364,20811.133905815885,25208.087977478586,60.95245142580051
236,42579.20015340141,46223.234410678364,20811.133905815885,25208.087977478586,60.95245142580051
237,42579.20015340141,46223.234410678364,20811.133905815885,25208.087977478586,60.95245142580051
238,42579.20015340141,46223.234410678364,20811.133905815885,25208.087977478586,60.95245142580051
239,42579.20015340141,46223.234410678364,20811.133905815885,25208.087977478586,60.95245142580051
240,42579.20015340141,46223.234410678364,20811.133905815885,25208.087977478586,60.95245142580051
241,42579.20015340141,46223.234410678364,20811.133905815885,25208.087977478586,60.95245142580051
242,42579.20015340141,46223.234410678364,20811.133905815885,25208.087977478586,60.95245142580051
243,42579.20015340141,46223.234410678364,20811.133905815885,25208.087977478586,60.95245142580051
244,42579.20015340141,46223.234410678364,20811.133905815885,25208.087977478586,60.95245142580051
245,42579.20015340141,46223.234410678364,20811.133905815885,25208.087977478586,60.95245142580051
246,42579.20015340141,46223.234410678364,20811.133905815885,25208.087977478586,60.95245142580051
247,42579.20015340141,46223.234410678364,20811.133905815885,25208.087977478586,60.95245142580051
248,42579.20015340141,46223.234410678364,20811.133905815885,25208.087977478586,60.95245142580051
249,42579.20015340141,46223.234410678364,20811.133905815885,25208.087977478586,60.95245142580051
250,42579.20015340141,46223.234410678364,20811.133905815885,25208.087977478586,60.95245142580051
